CODE,NAME
"33UGGC","Thorpe Hamlet Ward"
"33UDGN","Southtown and Cobholm Ward"
"33UFHX","Waterside Ward"
"33UEJK","West Winch Ward"
"33UBHJ","Launditch Ward"
"33UFGQ","Briston Ward"
"33UBHH","Hermitage Ward"
"33UBJC","Upper Yare Ward"
"33UEJB","South Wootton Ward"
"33UEHL","Hilgay with Denver Ward"
"33UBHC","Dereham-Toftwood Ward"
"33UEHJ","Grimston Ward"
"33UFJA","Worstead Ward"
"33UCHA","Hellesdon North West Ward"
"33UFGP","Astley Ward"
"33UEJG","Walpole Ward"
"33UEHG","Gaywood Chase Ward"
"33UHGZ","Bunwell Ward"
"33UHJN","Cromwells Ward"
"33UFHT","The Raynhams Ward"
"33UCGY","Eynesford Ward"
"33UBHB","Dereham-Neatherd Ward"
"33UCGW","Drayton North Ward"
"33UGFX","Lakenham Ward"
"33UBJH","Wissey Ward"
"33UHJX","Roydon Ward"
"33UEJD","Springwood Ward"
"33UBHN","Queen's Ward"
"33UHJR","Gillingham Ward"
"33UDGA","Caister North Ward"
"33UEHB","Downham Old Town Ward"
"33UHJE","Tasburgh Ward"
"33UBHR","Swaffham Ward"
"33UEHK","Heacham Ward"
"33UEJC","Spellowfields Ward"
"33UEHM","Hunstanton Ward"
"33UFHP","Sheringham North Ward"
"33UFHG","North Walsham North Ward"
"33UBHQ","Springvale and Scarning Ward"
"33UEGX","Clenchwarton Ward"
"33UBGX","Burgh and Haverscroft Ward"
"33UHJU","Loddon Ward"
"33UGFZ","Mile Cross Ward"
"33UFHN","St. Benet Ward"
"33UEHR","North Wootton Ward"
"33UCHM","Taverham North Ward"
"33UEGY","Denton Ward"
"33UBHS","Swanton Morley Ward"
"33UCGN","Acle Ward"
"33UDGG","Gorleston Ward"
"33UCHE","Marshes Ward"
"33UHJA","Rustens Ward"
"33UFHL","Roughton Ward"
"33UCHB","Hellesdon South East Ward"
"33UFGT","Cromer Town Ward"
"33UBGW","Buckenham Ward"
"33UFGY","Happisburgh Ward"
"33UHHM","Hempnall Ward"
"33UEGU","Brancaster Ward"
"33UHHP","Hingham and Deopham Ward"
"33UCGR","Brundall Ward"
"33UFGR","Chaucer Ward"
"33UEHP","North Downham Ward"
"33UBHE","Eynsford Ward"
"33UEHX","St. Margarets with St. Nicholas Ward"
"33UGFW","Eaton Ward"
"33UDGQ","Yarmouth North Ward"
"33UBJD","Watton Ward"
"33UHJC","Stoke Holy Cross Ward"
"33UHJB","Scole Ward"
"33UCGP","Aylsham Ward"
"33UCHJ","Spixworth with St. Faiths Ward"
"33UBHU","Templar Ward"
"33UDGJ","Magdalen Ward"
"33UGFY","Mancroft Ward"
"33UFHW","Walsingham Ward"
"33UFHJ","Poppyland Ward"
"33UCGQ","Blofield with South Walsham Ward"
"33UHGU","Abbey Ward"
"33UEHE","Fairstead Ward"
"33UFHU","The Runtons Ward"
"33UFHS","Suffield Park Ward"
"33UEJF","Valley Hill Ward"
"33UBHL","Nar Valley Ward"
"33UCHQ","Thorpe St. Andrew South East Ward"
"33UBHG","Harling and Heathlands Ward"
"33UBHF","Haggard De Toni Ward"
"33UHHH","Easton Ward"
"33UGGB","Sewell Ward"
"33UFGW","Gaunt Ward"
"33UDGM","St. Andrews Ward"
"33UFGX","Glaven Valley Ward"
"33UGGE","University Ward"
"33UFHA","Holt Ward"
"33UEGZ","Dersingham Ward"
