CODE,NAME
"East Southbourne and Tuckton","East Southbourne and Tuckton"
"Central","Central"
"Boscombe East","Boscombe East"
"Wallisdown and Winton West","Wallisdown and Winton West"
"Moordown","Moordown"
"Kinson North","Kinson North"
"Queen's Park","Queen's Park"
"Littledown and Iford","Littledown and Iford"
"Strouden Park","Strouden Park"
"Throop and Muscliff","Throop and Muscliff"
"Westbourne and West Cliff","Westbourne and West Cliff"
"Talbot and Branksome Woods","Talbot and Branksome Woods"
"East Cliff and Springbourne","East Cliff and Springbourne"
"Boscombe West","Boscombe West"
"West Southbourne","West Southbourne"
"Kinson South","Kinson South"
"Winton East","Winton East"
"Redhill and Northbourne","Redhill and Northbourne"
