CODE,NAME
"37UD","Broxtowe District"
"37UJ","Rushcliffe District"
"37UE","Gedling District"
"37UB","Ashfield District"
"37UF","Mansfield District"
"37UC","Bassetlaw District"
"37UG","Newark and Sherwood District"
"00FY","City of Nottingham"
"Gainsborough","Gainsborough"
"Beckingham","Beckingham"
"Retford (East Retford)","Retford (East Retford)"
"Worksop","Worksop"
"Market Warsop","Market Warsop"
"Newark-on-trent","Newark-on-trent"
"Mansfield","Mansfield"
"Kirby in Ashfield","Kirby in Ashfield"
"Arnold","Arnold"
"Nottingham","Nottingham"
"West Bridgford","West Bridgford"
"Bingham","Bingham"
"Mansfield Woodhouse","Mansfield Woodhouse"
"Sutton in Ashfield","Sutton in Ashfield"
"Hucknall","Hucknall"
"Eastwood","Eastwood"
"Balderton","Balderton"
"Beeston","Beeston"
"Carlton","Carlton"
