CODE,NAME
"A1","A1"
"A1(T)","A1(T)"
"A1087","A1087"
"A1140","A1140"
"A198","A198"
"A199","A199"
"A6089","A6089"
"A6091(T)","A6091(T)"
"A6093","A6093"
"A6094","A6094"
"A6095","A6095"
"A6105","A6105"
"A6106","A6106"
"A6112","A6112"
"A6124","A6124"
"A6137","A6137"
"A68","A68"
"A68(T)","A68(T)"
"A697","A697"
"A698","A698"
"A699","A699"
"A7","A7"
"A7(T)","A7(T)"
"A70","A70"
"A700","A700"
"A701","A701"
"A702","A702"
"A702(T)","A702(T)"
"A703","A703"
"A704","A704"
"A705","A705"
"A706","A706"
"A7066","A7066"
"A707","A707"
"A708","A708"
"A71","A71"
"A72","A72"
"A720","A720"
"A720(T)","A720(T)"
"A721","A721"
"A722","A722"
"A723","A723"
"A725","A725"
"A73","A73"
"A743","A743"
"A766","A766"
"A768","A768"
"A772","A772"
"A775","A775"
"A779","A779"
"A8","A8"
"A8(T)","A8(T)"
"A80(T)","A80(T)"
"A800","A800"
"A801","A801"
"A8010","A8010"
"A8011","A8011"
"A803","A803"
"A811","A811"
"A820","A820"
"A822","A822"
"A823","A823"
"A823(M)","A823(M)"
"A824","A824"
"A84","A84"
"A84(T)","A84(T)"
"A872","A872"
"A876","A876"
"A876(T)","A876(T)"
"A88","A88"
"A883","A883"
"A89","A89"
"A899","A899"
"A9","A9"
"A9(T)","A9(T)"
"A90","A90"
"A900","A900"
"A901","A901"
"A902","A902"
"A903","A903"
"A904","A904"
"A905","A905"
"A907","A907"
"A908","A908"
"A909","A909"
"A91","A91"
"A910","A910"
"A911","A911"
"A912","A912"
"A914","A914"
"A915","A915"
"A916","A916"
"A917","A917"
"A92(T)","A92(T)"
"A921","A921"
"A922","A922"
"A955","A955"
"A977","A977"
"A977(T)","A977(T)"
"A985","A985"
"A985(T)","A985(T)"
"A993","A993"
"A994","A994"
"B1343","B1343"
"B1345","B1345"
"B1346","B1346"
"B1347","B1347"
"B1348","B1348"
"B1349","B1349"
"B1350","B1350"
"B1361","B1361"
"B1377","B1377"
"B1407","B1407"
"B6340","B6340"
"B6350","B6350"
"B6352","B6352"
"B6355","B6355"
"B6356","B6356"
"B6359","B6359"
"B6360","B6360"
"B6361","B6361"
"B6362","B6362"
"B6363","B6363"
"B6364","B6364"
"B6365","B6365"
"B6367","B6367"
"B6368","B6368"
"B6369","B6369"
"B6370","B6370"
"B6371","B6371"
"B6372","B6372"
"B6374","B6374"
"B6392","B6392"
"B6394","B6394"
"B6396","B6396"
"B6397","B6397"
"B6398","B6398"
"B6404","B6404"
"B6414","B6414"
"B6415","B6415"
"B6436","B6436"
"B6453","B6453"
"B6454","B6454"
"B6456","B6456"
"B6457","B6457"
"B6458","B6458"
"B6460","B6460"
"B6461","B6461"
"B6471","B6471"
"B6482","B6482"
"B700","B700"
"B7002","B7002"
"B7003","B7003"
"B7006","B7006"
"B7007","B7007"
"B7008","B7008"
"B7009","B7009"
"B701","B701"
"B7010","B7010"
"B7011","B7011"
"B7014","B7014"
"B7015","B7015"
"B7016","B7016"
"B7017","B7017"
"B7018","B7018"
"B7019","B7019"
"B702","B702"
"B7026","B7026"
"B7029","B7029"
"B703","B703"
"B7030","B7030"
"B7031","B7031"
"B7032","B7032"
"B7033","B7033"
"B704","B704"
"B7055","B7055"
"B7056","B7056"
"B7057","B7057"
"B7059","B7059"
"B7060","B7060"
"B7062","B7062"
"B7066","B7066"
"B7069","B7069"
"B7078","B7078"
"B708","B708"
"B7086","B7086"
"B709","B709"
"B710","B710"
"B712","B712"
"B715","B715"
"B717","B717"
"B718","B718"
"B753","B753"
"B754","B754"
"B792","B792"
"B799","B799"
"B800","B800"
"B802","B802"
"B8020","B8020"
"B8022","B8022"
"B8028","B8028"
"B8029","B8029"
"B803","B803"
"B8033","B8033"
"B8039","B8039"
"B804","B804"
"B8046","B8046"
"B8047","B8047"
"B8048","B8048"
"B805","B805"
"B8051","B8051"
"B8052","B8052"
"B8053","B8053"
"B8054","B8054"
"B8058","B8058"
"B8062","B8062"
"B8064","B8064"
"B8080","B8080"
"B8081","B8081"
"B8084","B8084"
"B810","B810"
"B816","B816"
"B818","B818"
"B823","B823"
"B824","B824"
"B825","B825"
"B827","B827"
"B900","B900"
"B901","B901"
"B902","B902"
"B903","B903"
"B9037","B9037"
"B905","B905"
"B907","B907"
"B908","B908"
"B9080","B9080"
"B9085","B9085"
"B909","B909"
"B9096","B9096"
"B9097","B9097"
"B910","B910"
"B9109","B9109"
"B912","B912"
"B9124","B9124"
"B9129","B9129"
"B913","B913"
"B9130","B9130"
"B9131","B9131"
"B9132","B9132"
"B914","B914"
"B9140","B9140"
"B9143","B9143"
"B9149","B9149"
"B915","B915"
"B9155","B9155"
"B9156","B9156"
"B9157","B9157"
"B916","B916"
"B917","B917"
"B9171","B9171"
"B918","B918"
"B919","B919"
"B920","B920"
"B921","B921"
"B922","B922"
"B923","B923"
"B924","B924"
"B925","B925"
"B927","B927"
"B928","B928"
"B929","B929"
"B930","B930"
"B931","B931"
"B932","B932"
"B933","B933"
"B934","B934"
"B936","B936"
"B937","B937"
"B938","B938"
"B939","B939"
"B940","B940"
"B941","B941"
"B942","B942"
"B944","B944"
"B948","B948"
"B969","B969"
"B980","B980"
"B981","B981"
"B996","B996"
"B998","B998"
"M74","M74"
"M8","M8"
"M80","M80"
"M876","M876"
"M9","M9"
"M90","M90"
